Nes,rep,N,r,window_1,window_2
0.0,49,1000,0.0001,0.021287393909695633,0.028087877621881193
4.0,47,1000,0.0001,0.02312686440022012,0.022637719998999984
2.0,46,1000,0.0001,0.035169574464723276,0.02734751093454684
0.0,199,1000,0.0001,0.02995768171708588,0.028074540363018246
2.0,1,1000,0.0001,0.027163846408320553,0.025937390871543703
50.0,44,1000,0.0001,0.031089873514675834,0.03129574933346677
30.0,40,1000,0.0001,0.027968687149357557,0.03115414178008906
100.0,23,1000,0.0001,0.02916214451722598,0.02995078923446183
2.0,45,1000,0.0001,0.025841632770638633,0.020288617145857384
100.0,47,1000,0.0001,0.02746355232161619,0.02453668369118473
2.0,15,1000,0.0001,0.026210563559178047,0.03039289979198966
15.0,35,1000,0.0001,0.030241389822491232,0.02710841574078727
50.0,46,1000,0.0001,0.03218047447972413,0.032587525799290085
8.0,37,1000,0.0001,0.03139434589429489,0.02507821569378479
0.02,10,1000,0.0001,0.0259099478223912,0.02856213393069663
25.0,0,1000,0.0001,0.03066201176458833,0.027678181328066476
1.0,11,1000,0.0001,0.018055152524626323,0.02363353634081713
18.0,39,1000,0.0001,0.030739903367168517,0.029075159047952503
200.0,9,1000,0.0001,0.02700739465473281,0.02860245551477589
2.0,17,1000,0.0001,0.01803376724636234,0.027270342534126756
0.0,80,1000,0.0001,0.03140307934396725,0.02692434946947359
18.0,37,1000,0.0001,0.02742702485324278,0.026761704589229555
22.0,38,1000,0.0001,0.0315284819130957,0.03178228215310778
15.0,31,1000,0.0001,0.03151779132656648,0.03202411210060519
24.0,7,1000,0.0001,0.02368476694834758,0.02753379119655995
30.0,25,1000,0.0001,0.024232860868043445,0.026203345614280744
5.0,17,1000,0.0001,0.021464004328216497,0.02659538734336728
12.0,5,1000,0.0001,0.029740515722786336,0.02746574254612744
0.0,40,1000,0.0001,0.020200405949297565,0.02473302810940569
1.0,48,1000,0.0001,0.02446520677033858,0.02231852567628389
0.5,22,1000,0.0001,0.028681677738887017,0.033529903817190926
30.0,0,1000,0.0001,0.02758759781089065,0.02641273830691549
8.0,12,1000,0.0001,0.031819731161558215,0.03098806978148917
0.2,29,1000,0.0001,0.03192300687534393,0.025115977567878544
8.0,48,1000,0.0001,0.021844674217710976,0.026058923714185857
25.0,14,1000,0.0001,0.027217032514625827,0.023895908432421703
0.0,207,1000,0.0001,0.028405570039502153,0.030720653094654934
0.0,222,1000,0.0001,0.026436199949997557,0.0275285090294516
5.0,20,1000,0.0001,0.02743055144157207,0.026855468840442074
30.0,2,1000,0.0001,0.02829498487224372,0.028737276393819844
24.0,30,1000,0.0001,0.02950970789539491,0.0318725851832594
0.0,118,1000,0.0001,0.030382863667183402,0.03067766674333733
0.02,15,1000,0.0001,0.027833089855492914,0.027414868299415123
15.0,17,1000,0.0001,0.02590361457872905,0.017895868847442466
12.0,39,1000,0.0001,0.016668620885044297,0.0219959425481275
10.0,38,1000,0.0001,0.024716680166008465,0.020529540941047215
5.0,49,1000,0.0001,0.026221951930596673,0.026977731712585797
0.5,32,1000,0.0001,0.027895473355667902,0.023078793539677147
24.0,9,1000,0.0001,0.028677018587929565,0.028753665432271765
0.05,48,1000,0.0001,0.029899247404370374,0.029743394415720957
2.0,29,1000,0.0001,0.02860515288464434,0.0281510793669684
30.0,21,1000,0.0001,0.029995037857893102,0.029240276476823913
0.1,40,1000,0.0001,0.02383097345467282,0.025154294444722298
0.01,44,1000,0.0001,0.02750398880144028,0.02579724246712353
0.02,28,1000,0.0001,0.025357040911045736,0.02152588398019918
0.0,57,1000,0.0001,0.02934400205010256,0.02950493320866056
0.0,43,1000,0.0001,0.026141626631331617,0.025310923104155378
0.05,4,1000,0.0001,0.02979805999800005,0.029503072538627065
0.2,6,1000,0.0001,0.025898431845592467,0.027033983632181787
